id,lat,lon,label,connections,in_waypoints,yaw
0,12.9922374,80.2304721,waypoint,1,False,
1,12.9922398,80.2304746,waypoint,"0,2",False,
2,12.9922377,80.2304694,waypoint,"1,3",False,
3,12.9922346,80.2304603,waypoint,"2,4",False,
4,12.9922305,80.2304509,waypoint,"3,5",False,
5,12.9922273,80.2304459,waypoint,"4,6",False,
6,12.9922195,80.2304312,waypoint,"5,7",False,
7,12.9922157,80.2304177,waypoint,"6,8",False,
8,12.9922124,80.2304072,waypoint,"7,9",False,
9,12.9922173,80.2303912,waypoint,"8,10",False,
10,12.992221,80.2303764,waypoint,"9,11",False,
11,12.9922223,80.230362,waypoint,"10,12",False,
12,12.9922189,80.2303418,waypoint,"11,13",False,
13,12.9922107,80.2303216,waypoint,"12,14",False,
14,12.9921979,80.2303114,waypoint,13,False,
15,12.9921947,80.2302975,waypoint,16,False,
16,12.992197,80.2302857,waypoint,"15,17",False,
17,12.9922017,80.2302852,waypoint,"16,18",False,
18,12.9922135,80.2302952,waypoint,"17,19",False,
19,12.9922223,80.2302993,waypoint,"18,20",False,
20,12.9922257,80.2302947,waypoint,"19,21",False,
21,12.9922319,80.2302894,waypoint,"20,22",False,
22,12.9922349,80.2302895,waypoint,"21,23",False,
23,12.9922292,80.2302908,waypoint,"22,24",False,
24,12.9922226,80.2302882,waypoint,"23,25",False,
25,12.9922216,80.2302876,waypoint,"24,26",False,
26,12.9922238,80.2302903,waypoint,"25,27",False,
27,12.9922262,80.2302927,waypoint,26,False,
28,12.9922276,80.2302801,waypoint,29,False,
29,12.9922327,80.2302788,waypoint,"28,30",False,
30,12.9922408,80.2302733,waypoint,"29,31",False,
31,12.9922474,80.2302655,waypoint,"30,32",False,
32,12.9922497,80.2302431,waypoint,"31,33",False,
33,12.9922531,80.2302298,waypoint,"32,34",False,
34,12.9922508,80.2302044,waypoint,"33,35",False,
35,12.9922507,80.2301769,waypoint,"34,36",False,
36,12.9922469,80.2301629,waypoint,"35,37",False,
37,12.9922401,80.2301413,waypoint,"36,38",False,
38,12.9922371,80.2301164,waypoint,"37,39",False,
39,12.9922393,80.2300952,waypoint,"38,40",False,
40,12.9922367,80.230084,waypoint,"39,41",False,
41,12.9922356,80.2300758,waypoint,"40,42",False,
42,12.9922572,80.2300684,waypoint,"41,43",False,
43,12.9922749,80.2300673,waypoint,"42,44",False,
44,12.9922956,80.2300797,waypoint,"43,45",False,
45,12.9923178,80.2300918,waypoint,"44,46",False,
46,12.9923375,80.2300904,waypoint,"45,47",False,
47,12.9923523,80.2300934,waypoint,"46,48",False,
48,12.9923623,80.2301045,waypoint,"47,49",False,
49,12.992362,80.2301183,waypoint,"48,50",False,
50,12.9923561,80.2301346,waypoint,"49,51",False,
51,12.9923565,80.2301542,waypoint,"50,52",False,
52,12.9923543,80.230172,waypoint,"51,53",False,
53,12.9923474,80.2301907,waypoint,"52,54",False,
54,12.9923457,80.2302073,waypoint,"53,55",False,
55,12.9923633,80.2302123,waypoint,"54,56,142",False,
56,12.9923854,80.2302123,waypoint,"55,57",False,
57,12.9924035,80.2302006,waypoint,"56,58",False,
58,12.9924165,80.2301904,waypoint,"57,59",False,
59,12.9924254,80.2301797,waypoint,"58,60",False,
60,12.9924224,80.2301743,waypoint,"59,61",False,
61,12.9924208,80.2301694,waypoint,"60,62",False,
62,12.9924208,80.2301683,waypoint,"61,63",False,
63,12.9924293,80.2301751,waypoint,62,False,
64,12.9924329,80.2301786,waypoint,65,False,
65,12.9924339,80.2301783,waypoint,"64,66",False,
66,12.9924366,80.2301795,waypoint,"65,67",False,
67,12.9924394,80.2301787,waypoint,"66,68",False,
68,12.9924404,80.2301812,waypoint,"67,69",False,
69,12.9924414,80.230184,waypoint,"68,70",False,
70,12.9924434,80.2301843,waypoint,"69,71",False,
71,12.9924502,80.2301844,waypoint,"70,72",False,
72,12.9924655,80.2301801,waypoint,"71,73",False,
73,12.9924836,80.2301857,waypoint,"72,74",False,
74,12.9925028,80.2301908,waypoint,"73,75",False,
75,12.9925199,80.2301991,waypoint,"74,76",False,
76,12.9925355,80.2301985,waypoint,"75,77",False,
77,12.9925555,80.2301929,waypoint,"76,78",False,
78,12.9925741,80.2301942,waypoint,"77,79",False,
79,12.9925939,80.2301959,waypoint,"78,80",False,
80,12.9926128,80.2301996,waypoint,"79,81",False,
81,12.9926284,80.2302039,waypoint,"80,82",False,
82,12.9926479,80.2302103,waypoint,"81,83",False,
83,12.9926654,80.2302155,waypoint,"82,84",False,
84,12.9926809,80.2302133,waypoint,"83,85",False,
85,12.9926992,80.2302268,waypoint,"84,86",False,
86,12.9927184,80.2302366,waypoint,"85,87",False,
87,12.9927374,80.23023,waypoint,"86,88",False,
88,12.9927541,80.230229,waypoint,"87,89",False,
89,12.9927654,80.2302289,waypoint,"88,90",False,
90,12.9927828,80.2302245,waypoint,"89,91",False,
91,12.9927872,80.230228,waypoint,"90,92",False,
92,12.9927946,80.2302571,waypoint,"91,93",False,
93,12.9928102,80.2302985,waypoint,"92,94",False,
94,12.9928229,80.230311,waypoint,"93,95",False,
95,12.9928255,80.2303103,waypoint,"94,96",False,
96,12.9928163,80.2302948,waypoint,"95,97",False,
97,12.9928145,80.2303021,waypoint,"96,98",False,
98,12.9928072,80.2303261,waypoint,"97,99",False,
99,12.9927932,80.230351,waypoint,"98,100",False,
100,12.9928283,80.2303617,waypoint,"99,101",False,
101,12.9928509,80.2304022,waypoint,"100,102",False,
102,12.9928794,80.2304253,waypoint,"101,103",False,
103,12.9928755,80.2304542,waypoint,"102,104",False,
104,12.9928714,80.2304816,waypoint,"103,105",False,
105,12.9928705,80.2304988,waypoint,"104,106",False,
106,12.992865,80.2305318,waypoint,"105,107",False,
107,12.9928977,80.230564,waypoint,"106,108",False,
108,12.992924,80.2306149,waypoint,"107,109",False,
109,12.992925,80.2306578,waypoint,"108,110",False,
110,12.9929392,80.2306695,waypoint,"109,111",False,
111,12.9929157,80.230682,waypoint,"110,112",False,
112,12.9928882,80.2306917,waypoint,"111,113",False,
113,12.9928494,80.2306972,waypoint,"112,114",False,
114,12.9928116,80.2307088,waypoint,"113,115",False,
115,12.9927979,80.2307116,waypoint,"114,116",False,
116,12.9927907,80.2306913,waypoint,"115,117",False,
117,12.9927744,80.230678,waypoint,"116,118",False,
118,12.9927795,80.2306655,waypoint,"117,119",False,
119,12.992767,80.2306469,waypoint,"118,120",False,
120,12.9927425,80.2306224,waypoint,"119,121",False,
121,12.9927126,80.2306095,waypoint,"120,122",False,
122,12.9926736,80.2306174,waypoint,"121,123",False,
123,12.9926429,80.2306041,waypoint,"122,124",False,
124,12.9926108,80.2305982,waypoint,"123,125",False,
125,12.9925772,80.2305936,waypoint,"124,126",False,
126,12.992555,80.2305707,waypoint,"125,127",False,
127,12.9925569,80.2305514,waypoint,"126,128",False,
128,12.9925625,80.2305903,waypoint,"127,129",False,
129,12.9925599,80.2306094,waypoint,"128,130",False,
130,12.9925408,80.2305989,waypoint,"129,131",False,
131,12.9925117,80.2305251,waypoint,"130,132",False,
132,12.9924787,80.2304414,waypoint,"131,133",False,
133,12.9924527,80.2303786,waypoint,"132,134",False,
134,12.9924291,80.2303548,waypoint,"133,135",False,
135,12.9924163,80.2303345,waypoint,"134,136",False,
136,12.9924057,80.2303015,waypoint,"135,137",False,
137,12.9924077,80.2302871,waypoint,"136,138",False,
138,12.9924142,80.2303119,waypoint,"137,139",False,
139,12.9924045,80.2303118,waypoint,"138,140",False,
140,12.9923918,80.2303111,waypoint,"139,141",False,
141,12.992374,80.2303104,waypoint,"140,142",False,
142,12.9923541,80.2302982,waypoint,"141,143,55",False,
143,12.992338,80.2302782,waypoint,"142,144",False,
144,12.9923219,80.2302719,waypoint,"143,145",False,
145,12.9923033,80.2302758,waypoint,"144,146",False,
146,12.9922883,80.2302876,waypoint,"145,147",False,
147,12.9922718,80.2302999,waypoint,"146,148",False,
148,12.9922546,80.2303206,waypoint,"147,149",False,
149,12.9922504,80.2303293,waypoint,"148,150",False,
150,12.9922467,80.2303344,waypoint,"149,151",False,
151,12.9922306,80.2303306,waypoint,"150,152",False,
152,12.992219,80.2303217,waypoint,"151,153",False,
153,12.9922205,80.2303085,waypoint,152,False,
154,12.9922275,80.2302851,waypoint,155,False,
155,12.9922246,80.2302814,waypoint,"154,156",False,
156,12.992222,80.2302807,waypoint,"155,157",False,
157,12.9922156,80.2302841,waypoint,"156,158",False,
158,12.9922101,80.230285,waypoint,"157,159",False,
159,12.9922082,80.230288,waypoint,"158,160",False,
160,12.9922045,80.2302869,waypoint,159,False,
161,12.9922982,80.2302932,waypoint,162,False,
162,12.9923006,80.2302937,waypoint,"161,163",False,
163,12.9923047,80.2302927,waypoint,"162,164",False,
164,12.9923084,80.2302883,waypoint,"163,165",False,
165,12.9923133,80.2302856,waypoint,"164,166",False,
166,12.992318,80.2302878,waypoint,"165,167",False,
167,12.9923214,80.2302902,waypoint,"166,168",False,
168,12.9923262,80.2302876,waypoint,"167,169",False,
169,12.9923298,80.2302864,waypoint,"168,170",False,
170,12.9923336,80.2302882,waypoint,"169,171",False,
171,12.9923364,80.2302932,waypoint,"170,172",False,
172,12.9923391,80.2303059,waypoint,"171,173",False,
173,12.9923425,80.2303162,waypoint,"172,174",False,
174,12.9923439,80.2303154,waypoint,"173,175",False,
175,12.9923464,80.2303197,waypoint,"174,176",False,
176,12.9923483,80.230323,waypoint,"175,177",False,
177,12.992354,80.2303333,waypoint,"176,178",False,
178,12.9923601,80.2303327,waypoint,"177,179",False,
179,12.9923641,80.2303243,waypoint,"178,180",False,
180,12.992367,80.2303194,waypoint,"179,181",False,
181,12.9923711,80.230323,waypoint,"180,182",False,
182,12.9923777,80.2303309,waypoint,"181,183",False,
183,12.9923806,80.2303325,waypoint,"182,184",False,
184,12.9923795,80.230334,waypoint,"183,185",False,
185,12.9923814,80.2303256,waypoint,"184,186",False,
186,12.9923865,80.230311,waypoint,"185,187",False,
187,12.9923907,80.2303049,waypoint,"186,188",False,
188,12.9923892,80.2303057,waypoint,"187,189",False,
189,12.9923869,80.2302917,waypoint,"188,190",False,
190,12.992392,80.2302917,waypoint,"189,191",False,
191,12.9923961,80.2302854,waypoint,"190,192",False,
192,12.9924,80.2302756,waypoint,"191,193",False,
193,12.992402,80.2302722,waypoint,"192,194",False,
194,12.9924044,80.230267,waypoint,"193,195",False,
195,12.9924039,80.23026,waypoint,"194,196",False,
196,12.9924054,80.2302541,waypoint,"195,197",False,
197,12.9923994,80.2302664,waypoint,"196,198",False,
198,12.9923973,80.2302737,waypoint,"197,199",False,
199,12.9923947,80.2302727,waypoint,"198,200",False,
200,12.9923921,80.2302695,waypoint,"199,201",False,
201,12.9923901,80.2302689,waypoint,"200,202",False,
202,12.9923875,80.2302604,waypoint,"201,203",False,
203,12.9923834,80.2302543,waypoint,"202,204",False,
204,12.9923807,80.2302412,waypoint,"203,205",False,
205,12.9923803,80.230231,waypoint,"204,206",False,
206,12.9923656,80.2302359,waypoint,"205,207",False,
207,12.9923501,80.230248,waypoint,"206,208",False,
208,12.9923505,80.2302601,waypoint,"207,209",False,
209,12.9923528,80.2302643,waypoint,"208,210",False,
210,12.9923505,80.2302742,waypoint,"209,211",False,
211,12.9923563,80.2302839,waypoint,"210,212",False,
212,12.9923532,80.2302752,waypoint,"211,213",False,
213,12.9923553,80.2302826,waypoint,"212,214",False,
214,12.9923573,80.2302805,waypoint,"213,215",False,
215,12.9923588,80.230285,waypoint,214,False,
216,12.992362,80.2303031,waypoint,217,False,
217,12.9923642,80.2303025,waypoint,"216,218",False,
218,12.9923652,80.2303084,waypoint,"217,219",False,
219,12.9923443,80.2303264,waypoint,"218,220",False,
220,12.9923463,80.23032,waypoint,"219,221",False,
221,12.9923523,80.230312,waypoint,"220,222",False,
222,12.9923602,80.2303042,waypoint,"221,223",False,
223,12.9923631,80.2303013,waypoint,"222,224",False,
224,12.9923611,80.2303012,waypoint,"223,225",False,
225,12.9923599,80.2303049,waypoint,"224,226",False,
226,12.9923576,80.2303075,waypoint,"225,227",False,
227,12.9923563,80.2303045,waypoint,"226,228",False,
228,12.9923529,80.2303035,waypoint,"227,229",False,
229,12.9923501,80.2303069,waypoint,"228,230",False,
230,12.9923545,80.2303108,waypoint,"229,231",False,
231,12.9923538,80.2303097,waypoint,"230,232",False,
232,12.9923531,80.230308,waypoint,"231,233",False,
233,12.9923535,80.230307,waypoint,"232,234",False,
234,12.9923531,80.2303055,waypoint,"233,235",False,
235,12.9923538,80.2303037,waypoint,"234,236",False,
236,12.9923533,80.2303031,waypoint,"235,237",False,
237,12.9923536,80.2303035,waypoint,"236,238",False,
238,12.9923546,80.2303049,waypoint,"237,239",False,
239,12.9923551,80.2303089,waypoint,"238,240",False,
240,12.9923556,80.2303105,waypoint,"239,241",False,
241,12.9923544,80.2303132,waypoint,"240,242",False,
242,12.9923557,80.2303136,waypoint,"241,243",False,
243,12.9923568,80.2303143,waypoint,"242,244",False,
244,12.9923571,80.230315,waypoint,"243,245",False,
245,12.9923585,80.2303158,waypoint,"244,246",False,
246,12.9923564,80.2303098,waypoint,"245,247",False,
247,12.992355,80.2303022,waypoint,"246,248",False,
248,12.9923521,80.2302902,waypoint,"247,249",False,
249,12.9923534,80.2302811,waypoint,"248,250",False,
250,12.9923551,80.2302726,waypoint,"249,251",False,
251,12.9923527,80.2302675,waypoint,"250,252",False,
252,12.9923486,80.230263,waypoint,"251,253",False,
253,12.9923488,80.2302577,waypoint,"252,254",False,
254,12.9923455,80.2302538,waypoint,"253,255",False,
255,12.992345,80.2302526,waypoint,"254,256",False,
256,12.9923462,80.230251,waypoint,"255,257",False,
257,12.9923463,80.2302477,waypoint,"256,258",False,
258,12.9923439,80.230245,waypoint,"257,259",False,
259,12.9923426,80.2302387,waypoint,"258,260",False,
260,12.9923419,80.2302338,waypoint,"259,261",False,
261,12.9923408,80.2302294,waypoint,"260,262",False,
262,12.9923435,80.2302278,waypoint,"261,263",False,
263,12.9923433,80.23023,waypoint,"262,264",False,
264,12.9923437,80.2302337,waypoint,"263,265",False,
265,12.9923444,80.2302409,waypoint,"264,266",False,
266,12.9923438,80.2302482,waypoint,"265,267",False,
267,12.9923415,80.2302496,waypoint,"266,268",False,
268,12.9923373,80.2302477,waypoint,"267,269",False,
269,12.992333,80.2302481,waypoint,"268,270",False,
270,12.9923278,80.2302457,waypoint,"269,271",False,
271,12.9923261,80.230243,waypoint,"270,272",False,
272,12.9923238,80.2302366,waypoint,"271,273",False,
273,12.9923227,80.23023,waypoint,"272,274",False,
274,12.9923229,80.230224,waypoint,"273,275",False,
275,12.9923241,80.2302171,waypoint,"274,276",False,
276,12.9923236,80.2302096,waypoint,"275,277",False,
277,12.9923246,80.2302043,waypoint,"276,278",False,
278,12.9923273,80.2302033,waypoint,"277,279",False,
279,12.9923309,80.2302011,waypoint,"278,280",False,
280,12.9923354,80.2301994,waypoint,"279,281",False,
281,12.9923407,80.2302025,waypoint,"280,282",False,
282,12.9923457,80.2302074,waypoint,"281,283",False,
283,12.992349,80.2302086,waypoint,"282,284",False,
284,12.992346,80.2302146,waypoint,"283,285",False,
285,12.9923418,80.2302199,waypoint,"284,286",False,
286,12.9923408,80.2302262,waypoint,"285,287",False,
287,12.9923443,80.23023,waypoint,"286,288",False,
288,12.9923476,80.2302307,waypoint,"287,289",False,
289,12.9923482,80.2302299,waypoint,288,False,
290,12.992300520821736,80.23047275841236,waypoint,292,False,
291,12.9923015009012,80.23052372038364,waypoint,,False,
292,12.992297253890186,80.23060552775861,waypoint,290,False,
293,12.992276998913562,80.23067191243173,waypoint_selected,,True,
294,12.992212313654598,80.23065514862539,green_pickup,,False,
